"","Winorloose","Schwierigkeitsgrad","Anzahl.der.Wörter","Anzahl.der.Bilder","Vollständige.Beschreibung","Views","Likes","Kommentare","Follower","Following","Anzahl.der.Projekte","Contest","Project_page","User_page"
"1",0,1,12653,74,1,3.307,10,0,0,0,1,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/monocle/monocle-view-control-ip-cameras-with-alexa-arduino-32bdd3","https://www.hackster.io/robert-savage"
"2",0,1,5247,22,1,1.168,3,2,0,0,1,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/nirkon/streamy-5925ee","https://www.hackster.io/nirkon"
"3",0,1,4371,12,1,4.23,14,4,25,0,8,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/VBB/poke-e-mom-send-a-poke-reminder-over-lora-wireless-7840ee","https://www.hackster.io/VBB"
"4",0,1,3968,9,1,18.319,61,14,15,0,1,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/katpurz/motion-sensor-surveillance-camera-using-azure-cloud-storage-89550a","https://www.hackster.io/katpurz"
"5",0,1,3908,12,1,604,9,0,7,0,3,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/antoniraj/lpg-biogas-detection-system-with-mediatek-linkit-one-2e11ba","https://www.hackster.io/antoniraj"
"6",0,1,3375,14,1,4.984,16,1,59,7,10,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/ruchir1674/air-quality-monitoring-7c5bae","https://www.hackster.io/ruchir1674"
"7",0,1,3348,7,0,3.098,1,0,0,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/tianlye/remote-fall-detection-and-home-care-system-for-elderly-2d8a68","https://www.hackster.io/tianlye"
"8",0,1,3345,7,1,1.962,8,3,17,0,9,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/BrayanBermudez/security-system-and-temperature-monitor-for-your-home-3f0fd6","https://www.hackster.io/BrayanBermudez"
"9",0,1,3174,7,1,1.173,19,3,24,0,5,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/corky2003/brick-droid-ab9c29","https://www.hackster.io/corky2003"
"10",0,1,3086,8,1,363,2,0,16,1,15,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/korn/linkit-one-wifi-meat-thermometer-502b58","https://www.hackster.io/korn"
"11",0,1,2899,11,0,18.394,44,8,51,0,5,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/seeyouu/smart-wardrobe-5e6320","https://www.hackster.io/seeyouu"
"12",0,1,2808,10,0,94,1,0,0,0,1,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/85654/nestx-thermostat-168efa","https://www.hackster.io/rianolegend"
"13",0,1,2530,4,1,821,6,0,14,5,8,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/RealMitomon/automatic-pet-water-chiller-2e11e1","https://www.hackster.io/RealMitomon"
"14",0,1,2515,10,0,899,11,0,1,0,1,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/rgfindl/r2d2-weather-assistant-5f39ce","https://www.hackster.io/rgfindl"
"15",0,1,2499,13,1,4.082,9,2,7,0,1,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/7441/lights-iot-ba637e","https://www.hackster.io/phantom-hawking-11"
"16",0,1,2462,18,1,4.809,17,0,5,0,1,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/teamnature/plant-monitoring-using-alexa-ad501f","https://www.hackster.io/renu-kumar"
"17",0,1,2421,9,1,10.524,38,31,55,9,12,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/LightPro/turn-lights-on-when-approaching-home-2634da","https://www.hackster.io/LightPro"
"18",0,1,2374,12,0,44.681,90,51,81,0,13,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/charifmahmoudi/arduino-mkr1000-getting-started-08bb4a","https://www.hackster.io/charifmahmoudi"
"19",0,1,2269,6,1,949,9,0,40,23,5,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/pulcher/you-are-the-ultimate-bounty-hunter-bcac23","https://www.hackster.io/pulcher"
"20",0,1,2156,5,1,4.618,16,0,5,4,2,"https://www.hackster.io/contests/Intel-Arduino-101","https://www.hackster.io/TomatoMan/robot-rover-iphone-controlled-using-blynk-joystick-572153","https://www.hackster.io/TomatoMan"
"21",0,1,2128,0,1,252,0,0,0,0,6,"https://www.hackster.io/contests/pi-day-contest","https://www.hackster.io/justin-revelstoke/pi-quiz-c2c471","https://www.hackster.io/justin-revelstoke"
"22",0,1,2072,19,1,703,6,0,0,0,1,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/85993/venetianmover-alexa-controlled-blinds-1aee7e","https://www.hackster.io/jdpwebb"
"23",0,1,2068,6,1,17.326,69,10,133,0,11,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/peejster/enter-the-house-like-a-sith-lord-337d91","https://www.hackster.io/peejster"
"24",0,1,2012,9,1,1.773,7,3,17,0,7,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/chathuranga-liyanage/prank-your-friends-with-talking-darth-vader-972824","https://www.hackster.io/chathuranga-liyanage"
"25",0,1,1997,11,1,4.483,12,0,40,23,5,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/pulcher/beertracker-eff875","https://www.hackster.io/pulcher"
"26",1,1,1965,7,0,4.549,14,0,25,0,8,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/VBB/virtual-breadboard-smart-home-alexa-skill-edge-bit-gadget-e3b14d","https://www.hackster.io/VBB"
"27",0,1,1922,3,1,3.784,17,3,46,0,9,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/jscottb/mkr1000-servo-control-panel-d29b14","https://www.hackster.io/jscottb"
"28",0,1,1858,8,1,1.482,8,0,336,2,47,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/mjrobot/computer-firing-all-weapons-cc962e","https://www.hackster.io/mjrobot"
"29",0,1,1731,5,1,3.992,18,2,63,15,26,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/PatelDarshil/voice-activated-media-appliances-using-arduino-and-alexa-559280","https://www.hackster.io/PatelDarshil"
"30",0,1,1707,9,1,9.656,38,7,15,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/flower-platform/program-mkr-over-the-air-goodies-voice-control-etc-562e9a","https://www.hackster.io/cristianspiescu"
"31",0,1,1686,8,1,373,2,0,4,0,1,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/rohitr/feel-the-force-detecting-the-force-503ff3","https://www.hackster.io/rohitr"
"32",0,1,1667,8,1,47,0,0,1,1,1,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/jardag/touch-controlled-talking-clock-for-psoc-analog-coprocessor-98c5a0","https://www.hackster.io/jardag"
"33",0,1,1665,13,1,7.752,16,3,119,4,48,"https://www.hackster.io/contests/Intel-Arduino-101","https://www.hackster.io/wesee/smart-home-sensor-node-de23c6","https://www.hackster.io/wesee"
"34",0,1,1618,6,1,6.482,35,5,9,0,4,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/milesnash_/3d-printer-fire-safety-448acf","https://www.hackster.io/milesnash_"
"35",0,1,1595,1,1,497,4,0,5,1,8,"https://www.hackster.io/contests/make-holiday-contest","https://www.hackster.io/PhilipV/circuit-playground-ornament-609256","https://www.hackster.io/PhilipV"
"36",0,1,1584,3,1,3.007,30,3,81,0,13,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/charifmahmoudi/stylish-iot-neck-warmer-controlled-from-mobile-browser-0bb93e","https://www.hackster.io/charifmahmoudi"
"37",0,1,1545,4,1,1.184,6,0,0,0,1,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/sanjivkumar/blutag-ece1cb","https://www.hackster.io/sanjivkumar"
"38",0,1,1533,9,1,1.268,12,0,93,22,48,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/PSoC_Rocks/psoc-4-natural-gas-leakage-alarm-system-for-kitchen-safety-13297b","https://www.hackster.io/PSoC_Rocks"
"39",0,1,1429,4,1,1.993,7,0,1,0,3,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/danmart524/audible-vision-8d3fdb","https://www.hackster.io/danmart524"
"40",0,1,1297,5,1,6.404,22,0,0,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/puzzler237/did-you-ever-want-to-have-a-video-doorphone-7c9358","https://www.hackster.io/puzzler237"
"41",0,1,1256,5,1,746,3,0,10,0,5,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/RaspberryPiNerd/linkitboom-0fef2e","https://www.hackster.io/RaspberryPiNerd"
"42",0,1,1250,9,0,31.467,95,33,50,13,8,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/ryanjgill2/plant-monitoring-system-88ed2b","https://www.hackster.io/ryanjgill2"
"43",0,1,1248,3,0,1.22,4,0,0,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/nikola-phreak-f8cb03/viseesaw-989122","https://www.hackster.io/user20700377"
"44",0,1,1221,3,0,1.054,13,1,2,0,1,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/jorge-eduardo-porras-b/mushroom-cultivation-febe41","https://www.hackster.io/jorge-eduardo-porras-b"
"45",0,1,1192,3,1,579,2,0,14,9,9,"https://www.hackster.io/contests/Intel-Arduino-101","https://www.hackster.io/crazycoder1999/handstand-master-7644fe","https://www.hackster.io/crazycoder1999"
"46",0,1,1183,4,0,532,3,2,0,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/alien-deckard-b5db8d/mkr1000-integrated-component-tester-10243e","https://www.hackster.io/user2042481"
"47",0,1,1164,5,1,1.814,13,8,93,22,48,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/PSoC_Rocks/psoc-auto-ranging-ohms-meter-41dc9e","https://www.hackster.io/PSoC_Rocks"
"48",0,1,1162,5,1,326,0,0,0,0,1,"https://www.hackster.io/contests/make-holiday-contest","https://www.hackster.io/ann-mackowski/freestanding-lace-ornament-f21d8a","https://www.hackster.io/ann-mackowski"
"49",0,1,1144,16,1,1.813,9,6,30,0,4,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/YoussefSabaa/mkr1000-with-windows-10-ffd0a3","https://www.hackster.io/YoussefSabaa"
"50",0,1,1144,4,1,1.356,12,6,299,0,20,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/anthony-ngu/force-control-anything-33f398","https://www.hackster.io/anthony-ngu"
"51",0,1,1116,9,1,6.933,23,14,30,7,11,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/dhairya-parikh/smart-energy-saver-for-your-home-943819","https://www.hackster.io/dhairya-parikh"
"52",0,1,1109,7,0,5.521,17,1,63,15,26,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/PatelDarshil/updated-solar-power-station-for-arduino-e52b6f","https://www.hackster.io/PatelDarshil"
"53",0,1,1076,3,0,1.301,4,0,17,1,13,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/amerch92/cat-tracker-with-linkit-one-2e461c","https://www.hackster.io/amerch92"
"54",0,1,1075,4,1,8.925,27,2,3,0,1,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/team-passionate-contributers/hi-remote-meet-cortana-ec8774","https://www.hackster.io/jorisbrauns"
"55",0,1,1044,4,1,2.336,7,0,6,0,6,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/exp0nge/mapping-road-conditions-758370","https://www.hackster.io/exp0nge"
"56",0,1,1029,1,1,763,4,0,17,1,13,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/amerch92/parked-car-finder-3677b3","https://www.hackster.io/amerch92"
"57",0,1,1028,4,1,17.276,16,7,13,0,4,"https://www.hackster.io/contests/Intel-Arduino-101","https://www.hackster.io/thomas_sxt/automatic-coffee-machine-950544","https://www.hackster.io/thomas_sxt"
"58",0,1,1016,0,1,414,2,0,15,32,8,"https://www.hackster.io/contests/Intel-Arduino-101","https://www.hackster.io/ishotjr/groby-personal-information-display-using-arduino-101-grove-484541","https://www.hackster.io/ishotjr"
"59",0,1,980,1,0,530,6,2,6,0,2,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/ddk220/photon-alarm-with-mozilla-os-2ff407","https://www.hackster.io/ddk220"
"60",0,1,969,4,1,1.757,10,0,1,0,2,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/divyansh-jain/raspberry-pi-home-automation-16d1f8","https://www.hackster.io/divyansh-jain"
"61",0,1,948,7,0,595,14,2,6,0,2,"https://www.hackster.io/contests/hardware-home","https://www.hackster.io/agent-override-2/echodeco-case-for-internet-radio-3916f8","https://www.hackster.io/agent-override-2"
"62",0,1,947,3,1,3.529,20,2,58,0,17,"https://www.hackster.io/contests/april-fools","https://www.hackster.io/AlexWulff/3d-printed-prank-vibrating-cup-033e3b","https://www.hackster.io/AlexWulff"
"63",0,1,945,4,1,5.828,22,2,67,5,14,"https://www.hackster.io/contests/pi-day-contest","https://www.hackster.io/fvdbosch/binary-clock-fe7bfc","https://www.hackster.io/fvdbosch"
"64",0,1,916,3,1,2.415,8,2,2,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/13146/engineering-a-black-ice-detection-system-for-roadways-b6300e","https://www.hackster.io/Ankitty"
"65",0,1,915,4,1,1.655,6,10,213,6,58,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/gatoninja236/log-data-to-google-sheet-particle-photon-7f7f22","https://www.hackster.io/gatoninja236"
"66",0,1,910,7,0,907,8,1,24,1,22,"https://www.hackster.io/contests/HomeandOfficeFuture","https://www.hackster.io/LaurenceHR/getting-started-with-station-mode-of-linkit-smart-7688-duo-34c0f0","https://www.hackster.io/LaurenceHR"
"67",0,1,895,3,1,1.761,19,1,2,0,1,"https://www.hackster.io/contests/particle-star-wars","https://www.hackster.io/syauqy/ledsaber-color-customizable-lightsaber-289b9d","https://www.hackster.io/syauqy"
"68",0,1,889,4,0,1.816,2,2,2,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/gidster/wisdome-weapon-identification-system-dome-8e31d6","https://www.hackster.io/gidster"
"69",0,1,887,6,1,2.615,11,0,2,0,1,"https://www.hackster.io/contests/alexasmarthome","https://www.hackster.io/nemesis5324/voice-controlled-rgb-lamp-41f1a3","https://www.hackster.io/nemesis5324"
"70",0,1,857,2,0,4.23,11,2,8,0,3,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/NikitaP/iot-door-bell-21ac25","https://www.hackster.io/NikitaP"
"71",0,1,856,5,1,58,0,0,3,0,4,"https://www.hackster.io/contests/hardware-home","https://www.hackster.io/dcsp/doorshield-63a667","https://www.hackster.io/dcsp"
"72",0,1,854,4,1,2.412,9,0,1,0,5,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/mcmchris/nodemcu-smart-room-esp8266-arduino-d471fd","https://www.hackster.io/mcmchris"
"73",0,1,840,3,0,3.874,19,2,24,0,3,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/cyborg-gibson-11/automated-blinds-by-cortana-7bfaff","https://www.hackster.io/cyborg-gibson-11"
"74",0,1,830,2,0,2.152,6,2,17,0,12,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/kuzma/pre-bedtime-environment-analysis-70da64","https://www.hackster.io/kuzma"
"75",0,1,823,7,0,1.618,17,1,63,2,11,"https://www.hackster.io/contests/HomeandOfficeFuture","https://www.hackster.io/akashchandran30/expand-the-memory-in-linkit-7688-e37aa5","https://www.hackster.io/akashchandran30"
"76",1,1,820,5,1,720,8,3,2,0,1,"https://www.hackster.io/contests/make-holiday-contest","https://www.hackster.io/johnathan-powell/blinking-and-singing-snowman-ornament-5c6dc5","https://www.hackster.io/johnathan-powell"
"77",0,1,817,4,1,4.476,18,5,7,0,1,"https://www.hackster.io/contests/Tinkernut","https://www.hackster.io/walid-mafuj/android-motion-detector-camera-with-arduino-mcu-306789","https://www.hackster.io/walid-mafuj"
"78",0,1,768,0,1,300,2,0,17,1,6,"https://www.hackster.io/contests/HomeandOfficeFuture","https://www.hackster.io/phfbertoleti/network-downtime-monitor-22d098","https://www.hackster.io/phfbertoleti"
"79",0,1,766,2,0,2.178,6,2,4,0,1,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/gdritter/halcyon-1e2c7e","https://www.hackster.io/gdritter"
"80",0,1,744,6,0,2.224,21,9,60,1,12,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/carmelito/keyless-door-entry-5a9e74","https://www.hackster.io/carmelito"
"81",0,1,708,4,1,30,0,0,3,0,6,"https://www.hackster.io/contests/pi-day-contest","https://www.hackster.io/jessews/pi-in-a-box-9a22fb","https://www.hackster.io/jessews"
"82",0,1,684,5,0,4.654,28,2,8,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/almogwald/my-xl-wireless-photo-wall-pictureled-612dce","https://www.hackster.io/almogwald"
"83",0,1,681,5,0,66,0,2,0,0,3,"https://www.hackster.io/contests/april-fools","https://www.hackster.io/jeremy-connell/danish-army-cup-da1d54","https://www.hackster.io/jeremy-connell"
"84",0,1,670,3,1,1.691,11,1,4,0,1,"https://www.hackster.io/contests/smart-devices-for-smart-cities","https://www.hackster.io/11708/smart-heart-monitoring-system-4695ec","https://www.hackster.io/agent-libra"
"85",0,1,663,1,1,250,0,0,1,1,4,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/jacek-pieczaba/occupancy-detector-8f72dd","https://www.hackster.io/jacek-pieczaba"
"86",0,1,658,1,1,22.639,36,5,6,0,1,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/zoobaka/automatic-plant-watering-system-f947e6","https://www.hackster.io/zoobaka"
"87",0,1,652,2,0,112,0,0,6,1,4,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/user5047216367/desktop-greenhouse-control-hub-50033f","https://www.hackster.io/user5047216367"
"88",0,1,648,5,0,462,2,0,0,0,1,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/ivanlsuarezc/nursing-call-for-patient-care-0a37b9","https://www.hackster.io/ivanlsuarezc"
"89",0,1,642,3,0,1.247,1,1,13,0,3,"https://www.hackster.io/contests/pi-day-contest","https://www.hackster.io/colonel/calculating-pi-d85ea7","https://www.hackster.io/colonel"
"90",0,1,637,3,1,46,0,0,0,0,2,"https://www.hackster.io/contests/april-fools","https://www.hackster.io/rockin-cup-team/rockin-timer-cup-58cb2d","https://www.hackster.io/LittleMaker"
"91",0,1,633,4,0,2.474,4,0,1,0,1,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/gdartur/pi-exercise-bike-e2001d","https://www.hackster.io/gdartur"
"92",0,1,626,3,1,144,1,1,1,1,4,"https://www.hackster.io/contests/cypress-sensing-the-world-contest","https://www.hackster.io/jacek-pieczaba/electric-box-supervisor-e4056b","https://www.hackster.io/jacek-pieczaba"
"93",0,1,603,4,1,187,2,0,19,0,30,"https://www.hackster.io/contests/HomeandOfficeFuture","https://www.hackster.io/FunguyPro/dog-water-alarm-v2-e88760","https://www.hackster.io/FunguyPro"
"94",0,1,594,0,0,973,2,0,4,0,2,"https://www.hackster.io/contests/Intel-Arduino-101","https://www.hackster.io/Collie147/3d-printer-power-controller-and-fault-monitor-1c62fb","https://www.hackster.io/Collie147"
"95",0,1,590,5,1,259,2,0,0,0,1,"https://www.hackster.io/contests/make-holiday-contest","https://www.hackster.io/ucn-ucn/one-ornament-christmas-tree-4a05f8","https://www.hackster.io/ucn-ucn"
"96",0,1,582,4,1,160,1,0,1,0,1,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/az-design/greenfingers-community-greenit-ea3551","https://www.hackster.io/andrea689"
"97",1,1,579,2,1,12.758,36,1,24,0,5,"https://www.hackster.io/contests/Windows10Automation","https://www.hackster.io/corky2003/pi-skype-monitor-ddc391","https://www.hackster.io/corky2003"
"98",0,1,579,8,1,436,3,1,0,0,1,"https://www.hackster.io/contests/pi-day-contest","https://www.hackster.io/halifax-makerspace/determining-pi-with-a-raspberry-pi-822d63","https://www.hackster.io/glassgiant"
"99",0,1,540,0,1,6.871,35,8,49,13,9,"https://www.hackster.io/contests/arduino-microsoft-maker","https://www.hackster.io/sameerk/keep-the-wifi-on-4f32ba","https://www.hackster.io/sameerk"
