Winorloose;Schwierigkeitsgrad;words;images;instructions;views;likes;comments;follower;following;projects;contest;projectpage;userpage
0;1;12653;74;1;3307;10;0;0;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/monocle/monocle-view-control-ip-cameras-with-alexa-arduino-32bdd3;https://www.hackster.io/robert-savage
0;1;5247;22;1;1168;3;2;0;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/nirkon/streamy-5925ee;https://www.hackster.io/nirkon
0;1;4371;12;1;423;14;4;25;0;8;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/VBB/poke-e-mom-send-a-poke-reminder-over-lora-wireless-7840ee;https://www.hackster.io/VBB
0;1;3968;9;1;18319;61;14;15;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/katpurz/motion-sensor-surveillance-camera-using-azure-cloud-storage-89550a;https://www.hackster.io/katpurz
0;1;3908;12;1;604;9;0;7;0;3;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/antoniraj/lpg-biogas-detection-system-with-mediatek-linkit-one-2e11ba;https://www.hackster.io/antoniraj
0;1;3375;14;1;4984;16;1;59;7;10;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/ruchir1674/air-quality-monitoring-7c5bae;https://www.hackster.io/ruchir1674
0;1;3348;7;0;3098;1;0;0;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/tianlye/remote-fall-detection-and-home-care-system-for-elderly-2d8a68;https://www.hackster.io/tianlye
0;1;3345;7;1;1962;8;3;17;0;9;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/BrayanBermudez/security-system-and-temperature-monitor-for-your-home-3f0fd6;https://www.hackster.io/BrayanBermudez
0;1;3174;7;1;1173;19;3;24;0;5;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/corky2003/brick-droid-ab9c29;https://www.hackster.io/corky2003
0;1;3086;8;1;363;2;0;16;1;15;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/korn/linkit-one-wifi-meat-thermometer-502b58;https://www.hackster.io/korn
0;1;2899;11;0;18394;44;8;51;0;5;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/seeyouu/smart-wardrobe-5e6320;https://www.hackster.io/seeyouu
0;1;2808;10;0;94;1;0;0;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/85654/nestx-thermostat-168efa;https://www.hackster.io/rianolegend
0;1;2530;4;1;821;6;0;14;5;8;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/RealMitomon/automatic-pet-water-chiller-2e11e1;https://www.hackster.io/RealMitomon
0;1;2515;10;0;899;11;0;1;0;1;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/rgfindl/r2d2-weather-assistant-5f39ce;https://www.hackster.io/rgfindl
0;1;2499;13;1;4082;9;2;7;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/7441/lights-iot-ba637e;https://www.hackster.io/phantom-hawking-11
0;1;2462;18;1;4809;17;0;5;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/teamnature/plant-monitoring-using-alexa-ad501f;https://www.hackster.io/renu-kumar
0;1;2421;9;1;10524;38;31;55;9;12;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/LightPro/turn-lights-on-when-approaching-home-2634da;https://www.hackster.io/LightPro
0;1;2374;12;0;44681;90;51;81;0;13;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/charifmahmoudi/arduino-mkr1000-getting-started-08bb4a;https://www.hackster.io/charifmahmoudi
0;1;2269;6;1;949;9;0;40;23;5;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/pulcher/you-are-the-ultimate-bounty-hunter-bcac23;https://www.hackster.io/pulcher
0;1;2156;5;1;4618;16;0;5;4;2;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/TomatoMan/robot-rover-iphone-controlled-using-blynk-joystick-572153;https://www.hackster.io/TomatoMan
0;1;2128;0;1;252;0;0;0;0;6;https://www.hackster.io/contests/pi-day-contest;https://www.hackster.io/justin-revelstoke/pi-quiz-c2c471;https://www.hackster.io/justin-revelstoke
0;1;2072;19;1;703;6;0;0;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/85993/venetianmover-alexa-controlled-blinds-1aee7e;https://www.hackster.io/jdpwebb
0;1;2068;6;1;17326;69;10;133;0;11;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/peejster/enter-the-house-like-a-sith-lord-337d91;https://www.hackster.io/peejster
0;1;2012;9;1;1773;7;3;17;0;7;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/chathuranga-liyanage/prank-your-friends-with-talking-darth-vader-972824;https://www.hackster.io/chathuranga-liyanage
0;1;1997;11;1;4483;12;0;40;23;5;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/pulcher/beertracker-eff875;https://www.hackster.io/pulcher
1;1;1965;7;0;4549;14;0;25;0;8;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/VBB/virtual-breadboard-smart-home-alexa-skill-edge-bit-gadget-e3b14d;https://www.hackster.io/VBB
0;1;1922;3;1;3784;17;3;46;0;9;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/jscottb/mkr1000-servo-control-panel-d29b14;https://www.hackster.io/jscottb
0;1;1858;8;1;1482;8;0;336;2;47;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/mjrobot/computer-firing-all-weapons-cc962e;https://www.hackster.io/mjrobot
0;1;1731;5;1;3992;18;2;63;15;26;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/PatelDarshil/voice-activated-media-appliances-using-arduino-and-alexa-559280;https://www.hackster.io/PatelDarshil
0;1;1707;9;1;9656;38;7;15;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/flower-platform/program-mkr-over-the-air-goodies-voice-control-etc-562e9a;https://www.hackster.io/cristianspiescu
0;1;1686;8;1;373;2;0;4;0;1;https://www.hackster.io/contests/particle-star-wars;https://www.hackster.io/rohitr/feel-the-force-detecting-the-force-503ff3;https://www.hackster.io/rohitr
0;1;1667;8;1;47;0;0;1;1;1;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/jardag/touch-controlled-talking-clock-for-psoc-analog-coprocessor-98c5a0;https://www.hackster.io/jardag
0;1;1665;13;1;7752;16;3;119;4;48;https://www.hackster.io/contests/Intel-Arduino-101;https://www.hackster.io/wesee/smart-home-sensor-node-de23c6;https://www.hackster.io/wesee
0;1;1618;6;1;6482;35;5;9;0;4;https://www.hackster.io/contests/Tinkernut;https://www.hackster.io/milesnash_/3d-printer-fire-safety-448acf;https://www.hackster.io/milesnash_
0;1;1595;1;1;497;4;0;5;1;8;https://www.hackster.io/contests/make-holiday-contest;https://www.hackster.io/PhilipV/circuit-playground-ornament-609256;https://www.hackster.io/PhilipV
0;1;1584;3;1;3007;30;3;81;0;13;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/charifmahmoudi/stylish-iot-neck-warmer-controlled-from-mobile-browser-0bb93e;https://www.hackster.io/charifmahmoudi
0;1;1545;4;1;1184;6;0;0;0;1;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/sanjivkumar/blutag-ece1cb;https://www.hackster.io/sanjivkumar
0;1;1533;9;1;1268;12;0;93;22;48;https://www.hackster.io/contests/cypress-sensing-the-world-contest;https://www.hackster.io/PSoC_Rocks/psoc-4-natural-gas-leakage-alarm-system-for-kitchen-safety-13297b;https://www.hackster.io/PSoC_Rocks
0;1;1429;4;1;1993;7;0;1;0;3;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/danmart524/audible-vision-8d3fdb;https://www.hackster.io/danmart524
0;1;1297;5;1;6404;22;0;0;0;1;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/puzzler237/did-you-ever-want-to-have-a-video-doorphone-7c9358;https://www.hackster.io/puzzler237
0;1;1256;5;1;746;3;0;10;0;5;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/RaspberryPiNerd/linkitboom-0fef2e;https://www.hackster.io/RaspberryPiNerd
0;1;1250;9;0;31467;95;33;50;13;8;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/ryanjgill2/plant-monitoring-system-88ed2b;https://www.hackster.io/ryanjgill2
