Winorloose;Schwierigkeitsgrad;Anzahl.der.Wörter;Anzahl.der.Bilder;Vollständige.Beschreibung;Views;Likes;Kommentare;Follower;Following;Anzahl.der.Projekte;Contest;Project_page;User_page
0;1;12653;74;1;3307;10;0;0;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/monocle/monocle-view-control-ip-cameras-with-alexa-arduino-32bdd3;https://www.hackster.io/robert-savage
1;1;7887;10;1;8303;25;2;223;25;50;https://www.hackster.io/contests/AWSIoTMegaContest;https://www.hackster.io/porrey/aws-iot-button-for-lifx-e0e4f7;https://www.hackster.io/porrey
1;1;6296;11;0;280;4;0;21;13;11;https://www.hackster.io/contests/alexa-api-contest;https://www.hackster.io/MRahman4/smart-hotel-ce3ae4;https://www.hackster.io/MRahman4
1;1;6296;11;0;280;4;0;21;13;11;https://www.hackster.io/contests/UKAmazonAlexa;https://www.hackster.io/MRahman4/smart-hotel-ce3ae4;https://www.hackster.io/MRahman4
0;1;5247;22;1;1168;3;2;0;0;1;https://www.hackster.io/contests/alexasmarthome;https://www.hackster.io/nirkon/streamy-5925ee;https://www.hackster.io/nirkon
1;1;4843;14;1;1946;8;3;9;0;5;https://www.hackster.io/contests/ESP8266;https://www.hackster.io/bbtinkerer/storage-bin-humidity-monitor-e31ec0;https://www.hackster.io/bbtinkerer
0;1;4686;16;1;2613;21;4;3;0;1;https://www.hackster.io/contests/beaglebonegreen;https://www.hackster.io/bigjosh/three-story-tall-clock-final-entry-5ab263;https://www.hackster.io/bigjosh
0;1;4465;32;1;14108;20;3;63;2;11;https://www.hackster.io/contests/alexa-raspberry-pi;https://www.hackster.io/akashchandran30/getting-started-alexa-with-pi-e3c6f5;https://www.hackster.io/akashchandran30
0;1;4462;8;1;935;1;0;19;3;16;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/austin-stanton/using-a-raspberry-pi-to-control-a-wf32-with-labview-3b2423;https://www.hackster.io/austin-stanton
1;1;4392;6;1;1136;9;2;5;0;7;https://www.hackster.io/contests/ESP8266;https://www.hackster.io/3magku/sc-smart-cup-coaster-f126f0;https://www.hackster.io/3magku
0;1;4371;12;1;4230;14;4;25;0;8;https://www.hackster.io/contests/arduino-microsoft-maker;https://www.hackster.io/VBB/poke-e-mom-send-a-poke-reminder-over-lora-wireless-7840ee;https://www.hackster.io/VBB
0;1;3968;9;1;18319;61;14;15;0;1;https://www.hackster.io/contests/Windows10Automation;https://www.hackster.io/katpurz/motion-sensor-surveillance-camera-using-azure-cloud-storage-89550a;https://www.hackster.io/katpurz
0;1;3908;12;1;604;9;0;7;0;3;https://www.hackster.io/contests/smart-devices-for-smart-cities;https://www.hackster.io/antoniraj/lpg-biogas-detection-system-with-mediatek-linkit-one-2e11ba;https://www.hackster.io/antoniraj
0;1;3870;35;1;384;6;0;30;7;11;https://www.hackster.io/contests/particle;https://www.hackster.io/dhairya-parikh/ubitdots-powered-monitoring-system-f49fd3;https://www.hackster.io/dhairya-parikh
1;1;3842;19;1;937;12;1;59;7;10;https://www.hackster.io/contests/2018chinausyoungmakercompetition;https://www.hackster.io/ruchir1674/solar-panel-monitoring-324030;https://www.hackster.io/ruchir1674
1;1;3842;19;1;937;12;1;59;7;10;https://www.hackster.io/contests/particle;https://www.hackster.io/ruchir1674/solar-panel-monitoring-324030;https://www.hackster.io/ruchir1674
0;1;3727;27;0;710;4;0;35;8;11;https://www.hackster.io/contests/Helium;https://www.hackster.io/PaulTR/neighborhood-speed-watch-with-helium-network-b7f79f;https://www.hackster.io/PaulTR
